state,symbol,year,perCapitaIncome
Minnesota,MN,2019,"$57,951.00 "
Mississippi,MS,2019,"$39,185.50 "
Missouri,MO,2019,"$48,913.75 "
Montana,MT,2019,"$49,825.25 "
Nebraska,NE,2019,"$53,413.25 "
Nevada,NV,2019,"$51,795.25 "
New Hampshire,NH,2019,"$66,850.50 "
New Jersey,NJ,2019,"$42,890.50 "
New Mexico,NM,2019,"$67,325.00 "
New York,NY,2019,"$48,254.75 "
North Carolina,NC,2019,"$57,212.00 "
North Dakota,ND,2019,"$49,807.25 "
Ohio,OH,2019,"$48,507.50 "
Oklahoma,OK,2019,"$52,461.00 "
Oregon,OR,2019,"$56,729.50 "
Pennsylvania,PA,2019,"$54,719.50 "
Rhode Island,RI,2019,"$46,165.75 "
South Carolina,SC,2019,"$55,015.50 "
South Dakota,SD,2019,"$48,765.50 "
Tennessee,TN,2019,"$53,487.75 "
Texas,TX,2019,"$48,664.00 "
Utah,UT,2019,"$53,846.75 "
Vermont,VT,2019,"$58,455.00 "
Virginia,VA,2019,"$62,808.25 "
Washington,WA,2019,"$42,368.25 "
West Virginia,WV,2019,"$52,413.75 "
Wisconsin,WI,2019,"$61,543.00 "
Wyoming,WY,2019,"$67,986.00 "
Alabama,AL,2020,"$45,511.00 "
Alaska,AK,2020,"$63,348.00 "
Arizona,AZ,2020,"$51,329.75 "
Arkansas,AR,2020,"$47,499.25 "
California,CA,2020,"$69,982.75 "
Colorado,CO,2020,"$64,050.25 "
Connecticut,CT,2020,"$77,593.50 "
Delaware,DE,2020,"$55,782.00 "
Florida,FL,2020,"$56,069.00 "
Georgia,GA,2020,"$51,692.50 "
Hawaii ,HI,2020,"$56,831.25 "
Idaho,ID,2020,"$48,146.75 "
Illinois,IL,2020,"$61,963.25 "
Indiana,IN,2020,"$51,674.75 "
Iowa,IA,2020,"$53,035.75 "
Kansas,KS,2020,"$55,663.50 "
Kentucky,KY,2020,"$47,042.75 "
Louisiana,LA,2020,"$50,811.25 "
Maine,ME,2020,"$53,679.00 "
Maryland,MD,2020,"$65,524.00 "
Massachusetts,MA,2020,"$77,038.25 "
Michigan,MI,2020,"$52,710.50 "
Minnesota,MN,2020,"$61,468.75 "
Mississippi,MS,2020,"$42,250.00 "
Missouri,MO,2020,"$51,655.75 "
Montana,MT,2020,"$53,020.50 "
Nebraska,NE,2020,"$56,861.50 "
Nevada,NV,2020,"$54,154.25 "
New Hampshire,NH,2020,"$70,301.00 "
New Jersey,NJ,2020,"$46,097.00 "
New Mexico,NM,2020,"$71,517.25 "
New York,NY,2020,"$50,978.75 "
North Carolina,NC,2020,"$60,488.75 "
North Dakota,ND,2020,"$53,185.25 "
Ohio,OH,2020,"$50,090.75 "
Oklahoma,OK,2020,"$56,329.25 "
Oregon,OR,2020,"$60,706.50 "
Pennsylvania,PA,2020,"$58,635.25 "
Rhode Island,RI,2020,"$48,820.50 "
South Carolina,SC,2020,"$59,600.75 "
South Dakota,SD,2020,"$50,785.25 "
Tennessee,TN,2020,"$55,393.50 "
Texas,TX,2020,"$51,667.00 "
Utah,UT,2020,"$57,367.75 "
Vermont,VT,2020,"$61,656.50 "
Virginia,VA,2020,"$66,945.75 "
Washington,WA,2020,"$44,840.00 "
West Virginia,WV,2020,"$55,019.75 "
Wisconsin,WI,2020,"$62,394.00 "
Wyoming,WY,2020,"$71,924.75 "
Alabama,AL,2021,"$48,597.00 "
Alaska,AK,2021,"$67,129.25 "
Arizona,AZ,2021,"$54,291.25 "
Arkansas,AR,2021,"$51,137.25 "
California,CA,2021,"$76,368.00 "
Colorado,CO,2021,"$69,006.25 "
Connecticut,CT,2021,"$82,066.50 "
Delaware,DE,2021,"$58,988.50 "
Florida,FL,2021,"$60,743.50 "
Georgia,GA,2021,"$55,281.00 "
Hawaii ,HI,2021,"$60,371.25 "
Idaho,ID,2021,"$51,377.00 "
Illinois,IL,2021,"$67,079.75 "
Indiana,IN,2021,"$56,144.50 "
Iowa,IA,2021,"$56,963.50 "
