zip,primary_city,state,county,latitude,longitude,irs_estimated_population
38764,Pace,MS,Bolivar County,33.79,-90.85,563
38765,Panther Burn,MS,Sharkey County,33.06,-90.87,179
38767,Rena Lara,MS,Coahoma County,34.14,-90.78,187
38768,Rome,MS,Sunflower County,33.97,-90.5,176
38769,Rosedale,MS,Bolivar County,33.85,-91.03,1660
38771,Ruleville,MS,Sunflower County,33.72,-90.55,2240
38772,Scott,MS,Bolivar County,33.59,-91.07,244
38773,Shaw,MS,Bolivar County,33.6,-90.77,2300
38774,Shelby,MS,Bolivar County,33.95,-90.76,1880
38776,Stoneville,MS,Washington County,33.4,-90.94,284
38778,Sunflower,MS,Sunflower County,33.54,-90.53,1110
38780,Wayside,MS,Washington County,33.26,-91.02,292
38781,Winstonville,MS,Bolivar County,33.91,-90.75,228
38782,Winterville,MS,Washington County,33.28,-91.01,77
38801,Tupelo,MS,Lee County,34.26,-88.73,24170
38802,Tupelo,MS,Lee County,34.26,-88.73,1243
38803,Tupelo,MS,Lee County,34.26,-88.73,1391
38804,Tupelo,MS,Lee County,34.28,-88.67,14030
38820,Algoma,MS,Pontotoc County,34.17,-89.03,97
38821,Amory,MS,Monroe County,33.98,-88.48,10200
38824,Baldwyn,MS,Prentiss County,34.5,-88.63,6380
38825,Becker,MS,Monroe County,33.91,-88.49,238
38826,Belden,MS,Lee County,34.3,-88.84,4680
38827,Belmont,MS,Tishomingo County,34.5,-88.2,2480
38828,Blue Springs,MS,Union County,34.4,-88.87,3850
38829,Booneville,MS,Prentiss County,34.66,-88.56,13670
38833,Burnsville,MS,Tishomingo County,34.84,-88.31,1800
38834,Corinth,MS,Alcorn County,34.93,-88.51,21150
38835,Corinth,MS,Alcorn County,34.93,-88.51,1663
38838,Dennis,MS,Tishomingo County,34.55,-88.25,1210
38839,Derma,MS,Calhoun County,33.85,-89.28,390
38841,Ecru,MS,Pontotoc County,34.35,-89.02,2920
38843,Fulton,MS,Itawamba County,34.26,-88.4,8880
38844,Gattman,MS,Monroe County,33.84,-88.26,223
38846,Glen,MS,Alcorn County,34.85,-88.38,1680
38847,Golden,MS,Itawamba County,34.48,-88.18,2540
38848,Greenwood Springs,MS,Monroe County,33.94,-88.27,700
38849,Guntown,MS,Lee County,34.44,-88.66,5250
38850,Houlka,MS,Chickasaw County,34.03,-89.01,2850
38851,Houston,MS,Chickasaw County,33.89,-89,7050
38852,Iuka,MS,Tishomingo County,34.8,-88.19,7220
38855,Mantachie,MS,Itawamba County,34.32,-88.49,4090
38856,Marietta,MS,Itawamba County,34.5,-88.47,1390
