"state","statesymbol","year","population","income"
"Vermont","VT","2019","8597977.5","$58,455.00 "
"Virginia","VA","2019","7639563.5","$62,808.25 "
"Washington","WA","2019","1800870.5","$42,368.25 "
"West Virginia","WV","2019","5880587.5","$52,413.75 "
"Wisconsin","WI","2019","575605.5","$61,543.00 "
"Wyoming","WY","2019","15091709.5","$67,986.00 "
"Alabama","AL","2020","5026219.25","$45,511.00 "
"Arizona","AZ","2020","7177976.5","$51,329.75 "
"Arkansas","AR","2020","3013717.75","$47,499.25 "
"California","CA","2020","39486492.25","$69,982.75 "
"Colorado","CO","2020","5782777","$64,050.25 "
"Connecticut","CT","2020","3603587","$77,593.50 "
"Delaware","DE","2020","992389.25","$55,782.00 "
"Florida","FL","2020","21580331.5","$56,069.00 "
"Georgia","GA","2020","10728033.75","$51,692.50 "
"Hawaii","HI","2020","1452138","$56,831.25 "
"Idaho","ID","2020","1850060.75","$48,146.75 "
"Illinois","IL","2020","12784277.25","$61,963.25 "
"Indiana","IN","2020","6787818.25","$51,674.75 "
"Iowa","IA","2020","3189953","$53,035.75 "
"Kansas","KS","2020","2936626.5","$55,663.50 "
"Kentucky","KY","2020","4505441","$47,042.75 "
"Louisiana","LA","2020","4651065.75","$50,811.25 "
"Maine","ME","2020","1363526.5","$53,679.00 "
"Maryland","MD","2020","6173633.25","$65,524.00 "
"Massachusetts","MA","2020","7020650.5","$77,038.25 "
"Michigan","MI","2020","10070375","$52,710.50 "
"Minnesota","MN","2020","5706694","$61,468.75 "
"Mississippi","MS","2020","2958337.75","$42,250.00 "
"Missouri","MO","2020","6156546.5","$51,655.75 "
"Montana","MT","2020","1087488.5","$53,020.50 "
"Nebraska","NE","2020","1961685.5","$56,861.50 "
"Nevada","NV","2020","3113147.25","$54,154.25 "
"New Hampshire","NH","2020","9281520.75","$70,301.00 "
"New Jersey","NJ","2020","2117354.75","$46,097.00 "
"New Mexico","NM","2020","20135790","$71,517.25 "
"New York","NY","2020","10460612.5","$50,978.75 "
"North Carolina","NC","2020","778476.5","$60,488.75 "
"North Dakota","ND","2020","11793444.25","$53,185.25 "
"Ohio","OH","2020","3963894","$50,090.75 "
"Oklahoma","OK","2020","4240124.75","$56,329.25 "
"Oregon","OR","2020","12992543.75","$60,706.50 "
"Pennsylvania","PA","2020","1096609.5","$58,635.25 "
"Rhode Island","RI","2020","5132576.25","$48,820.50 "
"South Carolina","SC","2020","887895.5","$59,600.75 "
"South Dakota","SD","2020","6922195","$50,785.25 "
"Tennessee","TN","2020","29220371","$55,393.50 "
"Texas","TX","2020","3283526","$51,667.00 "
"Utah","UT","2020","643126.25","$57,367.75 "
"Vermont","VT","2020","8632597.5","$61,656.50 "
"Virginia","VA","2020","7714198.75","$66,945.75 "
"Washington","WA","2020","1790901.25","$44,840.00 "
"West Virginia","WV","2020","5893362.25","$55,019.75 "
"Wisconsin","WI","2020","577299.25","$62,394.00 "
"Wyoming","WY","2020","15106532","$71,924.75 "
"Alabama","AL","2021","5041117.25","$48,597.00 "
"Arizona","AZ","2021","7278162.75","$54,291.25 "
"Arkansas","AR","2021","3026614.75","$51,137.25 "
"California","CA","2021","39246401.25","$76,368.00 "
"Colorado","CO","2021","5812871","$69,006.25 "
"Connecticut","CT","2021","3606291.25","$82,066.50 "
"Delaware","DE","2021","1003677","$58,988.50 "
"Florida","FL","2021","21787976.75","$60,743.50 "
"Georgia","GA","2021","10801634.25","$55,281.00 "
"Hawaii","HI","2021","1441939.75","$60,371.25 "
"Idaho","ID","2021","1901376.75","$51,377.00 "
"Illinois","IL","2021","12674010.5","$67,079.75 "
"Indiana","IN","2021","6807224","$56,144.50 "
"Iowa","IA","2021","3193665.75","$56,963.50 "
"Kansas","KS","2021","2935130.75","$59,312.75 "
"Kentucky","KY","2021","4510298","$50,689.00 "
"Louisiana","LA","2021","4626471.5","$54,405.00 "
"Maine","ME","2021","1372551","$57,149.25 "
"Maryland","MD","2021","6166366","$69,251.75 "
"Massachusetts","MA","2021","6986023.5","$82,458.75 "
"Michigan","MI","2021","10052812.75","$55,539.25 "
"Minnesota","MN","2021","5708197.25","$65,477.00 "
"Mississippi","MS","2021","2950723.75","$45,425.50 "
"Missouri","MO","2021","6169450","$55,149.00 "
"Montana","MT","2021","1104537.5","$56,665.25 "
"Nebraska","NE","2021","1963998.75","$62,085.50 "
"Nevada","NV","2021","3144656.25","$58,223.00 "
"New Hampshire","NH","2021","9268918.25","$74,789.75 "
"New Jersey","NJ","2021","2116473.25","$49,306.25 "
"New Mexico","NM","2021","19841612.25","$76,388.00 "
"New York","NY","2021","10553525.5","$55,033.00 "
"North Carolina","NC","2021","775104.75","$65,529.50 "
"North Dakota","ND","2021","11782448.25","$56,471.75 "
"Ohio","OH","2021","3987574","$53,145.25 "
"Oklahoma","OK","2021","4246974.5","$60,665.00 "
"Oregon","OR","2021","12966957","$64,039.25 "
"Pennsylvania","PA","2021","1095823.5","$61,930.25 "
"Rhode Island","RI","2021","5192117.25","$52,063.75 "
"South Carolina","SC","2021","895532","$64,712.50 "
"South Dakota","SD","2021","6976781.75","$54,862.50 "
"Tennessee","TN","2021","29533960","$59,663.75 "
"Texas","TX","2021","3338353.25","$55,390.00 "
"Utah","UT","2021","645692.75","$59,694.75 "
"Vermont","VT","2021","8643889.5","$65,396.25 "
"Virginia","VA","2021","7739898.75","$71,878.50 "
"Washington","WA","2021","1783434.5","$47,803.25 "
"West Virginia","WV","2021","5896893.5","$58,554.25 "
"Wisconsin","WI","2021","578903","$65,617.00 "
"Wyoming","WY","2021","15095617","$76,636.50 "
